"Age" "Sex" "SBP" "Pulse rate" "Assessment centre" "CRP" "Triglycerides" "PDSRll" "PDSRrr" "Err Global" "Ell Global" "AAo distensibility" "DAo distensibility" "LVSVi" "LVCI" "LAVmaxi" "LAVmini" "RVSVi" "RAVmini"
"Age" 0 0.100943058229253 0.115250223423656 -0.0669881692454531 -0.0227387931038032 0.0240757346270001 -0.00376432914965727 -0.153096342507486 -0.151170876172414 0.223517377741832 0.094776448663166 -0.109586980531657 -0.099016371230544 0.0527684477680582 -0.129217970060236 -0.0462085243146425 0.0702154071831309 -0.0478124037157138 0.0849425549234148
"Sex" 0.0506053270810325 0 0.177674721256945 -0.164799600263757 -0.0425146524355078 0.0279274634490382 0.645821721903825 -0.0331007954332218 -0.198616765774749 -0.378793213123833 -0.20581078579813 0.115002231699409 -0.114486990937456 0.0958608008568177 -0.0119743147932834 -0.0704338172816444 0.00611563646798763 0.268192705910404 0.325938099750741
"SBP" 0.0855906199597933 0.218771236634147 0 -0.0489489559398634 0.089481565560014 0.0406094848839906 0.0826121911044332 -0.0484065763069602 -0.0317513275095698 0.0845417886109638 -0.0224941809237736 -0.0453116834520822 -0.0861434893022143 0.00840927250615026 0.011160951403647 0.0205648076557211 0.00016629301611938 0.0305742398598198 -0.0896189519835593
"Pulse rate" -0.0746038920002754 -0.289899459719079 -0.0716362813767387 0 -0.125406175346769 0.0571374718660372 0.0400621579317635 0 -0.0289842898587173 0.00289908407963798 -0.0363409709986748 -0.00305784783992064 -0.0216649564097632 -0.222302381977583 0.344522569754271 -0.00425416040720482 0 -0.0399948446387049 -0.00994690811172082
"Assessment centre" -0.013982720583777 -0.0428418845318753 0.0762945548223831 -0.0741955216674217 0 -0.0134459064860509 -0.0154358325729297 -0.0225539645076246 0.00702214264613 0.0217693905181858 0.0282423076969232 0.0136470557579897 -0.00316646375757603 -0.0177813078988476 0.0109072098945563 -0.0209433234705457 0.0134542322986842 -0.00618362368583695 0.00879950842516631
"CRP" 0.0165794602040394 0.0464737715885489 0.037483072751076 0.0377535897296845 -0.0167821552564613 0 0.173729668146447 -0.0248383130638135 0.0107575097770327 0.0111660154616939 0.058789710237861 0.00392623157137204 -0.0217255178198853 -0.000627592988647836 -0.017851879010044 0.00109568624359942 0.0122536323460886 -0.0346306569290626 -0.0822648844826891
"Triglycerides" -0.00297169808773753 0.786205176043459 0.0809584783933739 0.0264818217679557 -0.0182066932320729 0.187934264838954 0 -0.0297442436380523 -7.42138334196921e-05 0.00214952536814971 0.0479926569893102 -0.00939818933196642 -0.00954223840419014 -0.0171589181368901 -0.00820374515909936 -0.00899526261749701 0.0129054660916252 -0.00691022194602461 -0.0925594460682362
"PDSRll" -0.185164253748164 -0.0686588382967283 -0.0786378253559967 0 -0.0435923260605138 -0.0379615634172599 -0.0486816192419934 0 0.375005509108317 -0.065019826889163 0.457061063735465 0.0533364423256399 0.0136756083900922 0.0635550861344564 -0.129087278679618 0.0119701144862909 0.0157866199665005 -0.00116170621030723 0.0512074039136413
"PDSRrr" -0.162374413710534 -0.370677507327297 -0.0457253740618999 -0.0280068997883099 0.013154423661666 0.0128939285811475 0 0.335432485531713 0 0.367541389766666 -0.132433377137976 0.00869370399419893 0.0191682345323809 0.144875775108701 -0.225052284720841 0.0209922872400774 -0.00741011317556752 0.0684523379643596 0.0261558653146449
"Err Global" 0.24032669812604 -0.697202071050747 0.120688646956588 0.000830414810746271 0.0379015369402693 0.0170004704267311 0.00281130582513016 -0.0584022088485698 0.366198353068332 0 0.301773018288082 -0.00634340778954424 0.00827896529743172 -0.132392663695717 0.229910526670457 0.024195098885484 -0.0468118202746332 0.108480459648076 -0.0950285244767745
"Ell Global" 0.0953572105272623 -0.369138062291538 -0.0309214535617753 -0.0321852670768252 0.0453740655052636 0.0828291751217706 0.0663762536249303 0.381616180785065 -0.123388938042623 0.284356451389411 0 -0.0267215961409686 0 0.0514650933946296 -0.0338825717103507 0.0586112355434575 -0.0967192209263778 0.00913422693347827 -0.0925054744062105
"AAo distensibility" -0.214365968929072 0.459609298816341 -0.122508251167631 -0.011130874408605 0.0454718926976716 0.00495308408081848 -0.0293297567188252 0.0906513783277774 0.020742943218203 -0.0139175352867632 -0.0547422603249985 0 0.586041028179144 -0.0497486516929011 0.0470984014284341 0.0330585471529106 -0.00646594044872463 -0.0215741310422462 -0.0264952985960926
"DAo distensibility" -0.235627392824921 -0.513208373789689 -0.266800246597514 -0.045010075421601 -0.0181127286466982 -0.0696663820723287 -0.0312840579217986 0.024723301740993 0.0380036580971077 0.0229609491209608 0.000456020074982191 0.682838882341277 0 0.0875451024097313 -0.115953904240474 -0.0224943853487572 0 -0.00645350444464586 0.0105683036046939
"LVSVi" 0.13807429841102 0.436992919635956 0.0322054562773086 -0.541974553982363 -0.0746464632633827 -0.00443167129831499 -0.0660349550273686 0.13391666648171 0.352526626344903 -0.322057451990608 0.132151873180969 -0.0604752948646502 0.0922544698368577 0 0.79321244766386 0.145865396572942 -0.100649289007179 0.550324086912744 0.0885667216999008
"LVCI" -0.21824129124082 -0.0429459787379204 0.0268939986196841 0.545592025046318 0.0304867222758571 -0.0424711396007969 -0.0186513647797288 -0.179745536929522 -0.353367005416195 0.363058005642506 -0.0575105351024705 0.0360385750926003 -0.0820652234308242 0.515579864850676 0 0.0290285372194078 -0.0242551446279395 -0.0126956880541562 -0.112389968945938
"LAVmaxi" -0.205100719677159 -0.550574361797653 0.133675072799594 -0.0265043751239016 -0.153584834919146 0.0145555801587039 -0.056614338163908 0.0466550285899938 0.0761503798078895 0.090670782586049 0.253244323616987 0.0687702284217713 -0.0429725061947391 0.235832960005413 0.0691526708237077 0 0.8662389 0.298651187298291 -0.340713931603346
"LAVmini" 0.29258056109878 0.0584368369212105 0.00577089134934288 0 0.094990286186827 0.0809734120362211 0.070974904932769 0.0705500734514176 -0.0240140119746088 -0.174156103775159 -0.402390528271196 -0.00728630835233469 0 -0.154493602257574 -0.0470192009348724 0.876672416849667 0 -0.31066058307507 0.618219477984212
"RVSVi" -0.0760423805033187 0.738438309544357 0.0640002052274796 -0.0574976340034219 -0.0169535659811113 -0.078635280798611 -0.0170908842180751 -0.00228138048033214 0.100584596681605 0.157440230053513 0.0154390063992863 -0.0148549791482958 0 0.331130271574902 -0.0112778148657101 0.106395803361788 -0.117908374086305 0 0.303146382142351
"RAVmini" 0.0740476453720293 0.500960637701081 -0.102576368546457 -0.00766575832726578 0.0124224095788331 -0.102952873746669 -0.109270465726129 0.0364101529662139 0.0192031218389063 -0.0769789408566177 -0.0792779412373549 -0.0126073137589196 0.0026817965670668 0.0285504644617193 -0.0583282357273718 -0.0656553144307069 0.127665698376779 0.166761438016614 0
