"Age" "Sex" "BSA" "SBP" "DBP" "Pulse rate" "Diabetes" "Smoking" "Duration of activity" "Medication (n)" "Assessment centre" "HbA1c" "C-reactive protein" "HDL" "Glucose" "Triglycerides" "eGFR cystatin" "Cardiac index" "PDSRll" "PDSRrr" "Err Global" "Ell Global" "AAo distensibility" "DAo distensibility" "LVSVi" "LAVmaxi" "LAVmini" "LVEF" "LVCO" "RVSVi"
"Age" 0 0.787 -0.124780279875455 0.258524591040383 -0.298785317604448 -0.0107049971759029 -0.19824229374052 0.0794473104367107 0.0776769133853654 0.12508260330193 0.0168900119827913 0.141897490600736 -0.028695714311774 0.167024596541214 -0.000606313090682892 0 -0.470434127414371 -0.0852540876039599 -0.187328537203885 -0.138916604225199 0.149952873014048 0.131395817214435 -0.184154457790144 -0.0730441067713645 0.0176522502355031 -0.0378704468463596 0.0793091574771246 0.0167288836287858 -0.0281129848077634 0.0230256400046045
"Sex" 0.501571665650947 0 0.622001707161824 0.0417676419340441 0.088875493298442 -0.229141227869494 0.181633674625249 0.0638945511520128 0.0537872976683174 -0.111285908227871 -0.0536258090807442 -0.0229187364951509 -0.36698703382739 -0.527774799721319 0.000878225484078688 0.186896909314226 0.211491275115756 0.00375558672767634 -0.0775233122469067 -0.100778959802661 -0.177220714700925 -0.306973216398652 0.182753933561574 -0.0347840432618253 0.105285995274259 -0.0816778658763713 0 -0.197261440871507 0.0319634306712441 0.277187860130307
"BSA" -0.196655052046502 0.787 0 -0.0428579239374046 0.0854128591795086 -0.280276721617143 0.0927625885268212 0.0735997302863901 -0.0560341184675075 0.0224645909358384 -0.0675884780094433 0 0.187517096616005 -0.138973637635545 0.0150800316644984 0.0313862485907207 -0.162285758341355 -0.444505018008671 0.0785452415096921 0.195383503939766 0.0104839887738721 0.169790479366888 -0.0472668266923358 -0.0417986609363609 -0.253224947067499 0 0.0315203165556388 -0.295608050223695 0.462814099876123 0.0659954004114499
"SBP" 0.24713278263559 0.100370586684543 -0.0253180163365699 0 0.706148988178601 -0.118089919704129 0.141000570582286 0.00662410756095141 0 0.00861370914132027 0.135872395361374 0.0117270120154229 0.0781996991146666 0 0.0446162785162624 0.0730779922670374 0.010187815232526 0.0343978753470176 -0.00326314834762414 -0.000441121335381182 0.08012324501417 -0.0214944028799723 -0.0306797253390107 -0.0920248745920333 0.0348462051963092 0.0244316937988148 -0.00875693655566675 -0.00635959273075929 0 -0.00541643567907483
"DBP" -0.260849565442895 0.179923112344779 0.0443197660404724 0.640844818265424 0 0.121056716460315 -0.237310437357629 -0.0153218285866895 0.0108433554590514 -0.0523239512459251 -0.0766479165884967 -0.0203611691207199 -0.024764066191168 0.0104685122645885 -0.0243434744307479 -0.00723870271757456 -0.00924843817590876 -0.0315619680220743 -0.0622382796624765 -0.0291313925303421 -0.0108150691896739 0.0176908694538907 -0.0352041236378468 0.0330941148649114 -0.0429454937953962 -0.000312851349857993 0.000921573706348407 0 0.0136854295669712 0.00969008398736709
"Pulse rate" -0.0101908361841849 -0.405826746286374 -0.135302272080417 -0.0925534459498906 0.106130553415364 0 0.00396407623606053 0.000940052589154709 -0.025101529802591 0.0624880361514904 -0.207685363349752 0 0.0496423502185123 0.0284320931869229 0.0280297127299372 0.0232841288141629 -0.00768605741489148 0.0223437714486946 -0.0241540289109742 -0.0293071162006186 -0.0115249303717783 -0.0327569007318819 -0.00816773628697787 -0.0153860786800512 -0.208098454861252 -0.00727463520413706 -0.000747431548693291 0.0188418540163902 0.154110733823491 -0.0395511946146583
"Diabetes" -0.220968331249468 0.204070316518642 0 0.12168124946815 -0.220900271475172 0 0 0.0489188728310595 -0.0987423033171036 0.91592812651588 0.112266273025638 0.787 -0.0441592030755266 -0.24531416383995 0.856 -0.0760828746254439 0.0106984599469627 -0.0581036422191946 -0.00198369775857366 -0.010203335531252 0.0361090667226222 -0.0324235446928498 0 0.0137080694270381 -0.0673068223127602 0.00651029590627365 -0.00445167801736173 7.56261585498178e-05 0.0619185667783149 -0.0313300316833217
"Smoking" 0.0356282679066167 0.0553459439417778 0.0208945530861525 0.00333300041880737 -0.00825506085993922 0.000591568330280452 0.0104010548566011 0 0.00996047105673289 0.052772235216396 -0.0214743120414678 -0.00113594034509165 0.0345435160712204 0.0435232537395435 0.00453270832622399 0.023401575502622 0.0100377167616198 -0.0128652440738052 0.00275588337982781 -0.0105258361056604 0.0120529619881165 -0.00202427364639731 -0.00416607398759681 0.0075926836701086 0.00976540514278941 -0.00262774225570381 0.00490934738520353 -0.00586453117762159 5.68818234819945e-06 -0.0100911490133755
"Duration of activity" 0.0319731741993215 0.052229784356705 -0.0160921835818091 -0.000737482890853429 0.00611338740869113 -0.0145922298258191 -0.073442289832113 0.00965694882291723 0 -0.00249828791416506 -0.00982129040789853 0.0103367098811436 -0.00030121253156599 0.0195868412689069 -0.00519342022208008 0.00392761787194834 0.0100170905962784 0 -0.00599829169135353 0.000860352040170152 4.90336372570589e-05 0.0068127914266571 -0.000352926409758493 0.00378447271096311 0.00468161947334216 0.00266362759642636 -0.00190210642094663 -0.0137892414796818 0.00147547992584696 -5.90449102357799e-05
"Medication (n)" 0.0601216651092732 -0.160915105975461 0.00661874345207305 0.00642007884160585 -0.0312710345271067 0.0417279531700777 0.523999750205248 0.0570370951633061 -0.00399116128058556 0 -0.0410939284427061 0.014271322955181 0.0485234266444606 -0.0653161359253197 0.0192679369759834 0.0118779440213828 -0.0453270914897072 -0.0261865297440955 0.000387136219446476 -0.00975714135128705 0.0260199453654041 0.00858757363536281 0.00333677708091008 -0.00547248218275702 0.00296813995972254 -0.00106935239566524 0.0171569557199113 -0.0191498924547841 0.0131805208900627 -0.0128906005472388
"Assessment centre" 0.00702246645063723 -0.0433386798078558 -0.0183226657431936 0.0610256693307599 -0.0374868735102327 -0.119705636814413 0.0785458681713653 -0.0200799312934384 -0.0095190621275437 -0.0350920890743307 0 -0.0363775423474236 -0.0109386443339561 0.00241559567458821 0.00271998034936657 -0.00922875707400632 0.0425329121605252 -0.0279633872759195 -0.0158182576947071 -0.0203681188313078 0.017076416416952 0.0200573474642121 0.0109898845856615 -0.0245841931640448 -0.0352273924751516 -0.0124435946903768 0.0135148987866614 0.0050892193152598 0.02179557898532 0.0129178597113423
"HbA1c" 0.0879339747959306 -0.012849654497288 0.000910587558922407 0.0132145021957422 -0.0206008713817787 0.000325508274223329 0.776 -0.00532229965276299 0.0172647257588792 0.0198230998100709 -0.0577329932650434 0 0.0692860117147146 0 0.351104986579365 0.0659836077379132 -0.0300216447409388 -0.013217813221295 -0.00572228080951495 0.00187883867426062 0.00489599171396773 0 0.00899539471011621 -0.00900665221957352 -0.00111744156355155 9.41444643305126e-05 0 -0.00163923684428266 0 -0.00528099850618751
"C-reactive protein" -0.0137379838450806 -0.454671288478108 0.056778332475554 0.0390265988895121 -0.0141342148750533 0.0306864088995231 -0.019123815185667 0.0359840563830727 0 0.048242899759805 -0.0125147387074105 0.0521355773700984 0 -0.0687538087948334 0.00231610430833762 0.0883319182978305 -0.129488898941795 -0.0153207451637114 -0.00816333805056169 0.00934215270299842 -0.00156102313946382 0.0356447052909286 0.00242068373725124 -0.0026118523696972 -0.0150642379162734 0.0108004489407224 -0.00454229427245544 0.00484783434543205 0.00751776445636038 -0.0189796223129517
"HDL" 0.10828456900604 -0.9044597290561 -0.0559950656995895 -0.00019682037648197 0.00841363486417013 0.0262725279322884 -0.38547456293563 0.0619399253590484 0.0305840595710448 -0.0860000242655656 0.00577926212827547 0 -0.0933560264142651 0 0.0260392350444413 -0.381370289746952 0.0935188959492227 0.00559242475141947 0.0129322714633176 0 0.0163522414643573 -0.004692718344919 -0.00459001437345044 0 0.0153308627171016 -0.00589004517981975 0.00318956379151644 -0.0089029659667742 -0.0029715476891045 0.00957069758934027
"Glucose" -0.00326567406612917 0 0.00384944709703113 0.0284762999821964 -0.0194574121554469 0.0206066598006417 0.41297274250508 0.00640309818282803 -0.00658393713648671 0.0225124771150176 0.00454168663607029 0.30823573519041 0.00349387894865133 0.0249454289914413 0 0.0253440675548267 0.0703937596950681 0.00346739577752875 -0.00304400633683502 0 0.00469714753322837 0.006266138655594 0 -0.00514812129197548 -0.00119613420012445 0.000331117644684171 0 -0.00477747240751334 0.00516909755917826 0
"Triglycerides" 0 0.240244405648493 0.0105418282862973 0.0437660322910234 -0.00502192048016602 0.016621209836373 0.0404882045281066 0.028673616769192 0.00314851113785548 0.0131708449061447 -0.0126740851149298 0.0572156707074052 0.105604622371977 -0.336500526833218 0.0245766059835359 0 -0.0653598292265302 -0.0178230581532568 -0.025359418447551 -0.0017048156413974 -0.0123193701097668 0.0292103392148896 -0.0139430630654039 -0.000387687359342487 -0.0275413720984778 0.00452238410684235 -0.00601607958523537 0.0384869343675502 0.00547883501666232 0
"eGFR cystatin" -0.273243219422253 0.324679086821103 -0.0609559733461876 0.00606984232112624 -0.00611899596547 -0.00540049719616943 0 0.0124459370550998 0.013142598509433 -0.0551600758175663 0.0568455094025805 -0.0282552019219903 -0.157469130482023 0.0835517278441206 0.0735220716808035 -0.0669077479899677 0 0.0163663391933862 0 -0.0020168123662793 0.00334544121345773 -0.00801554589225179 -0.00717194366962938 0.00564033291333154 0.00203003007087056 0 -0.00285414215873178 -0.0202619742608027 0.00319193257136265 0.0138329519837442
